day,hour,casual,member
25-01-2021,0,4,4
25-01-2021,1,2,4
25-01-2021,2,3,2
25-01-2021,3,1,3
25-01-2021,4,3,2
25-01-2021,5,5,21
25-01-2021,6,8,60
25-01-2021,7,16,114
25-01-2021,8,37,172
25-01-2021,9,30,136
25-01-2021,10,29,93
25-01-2021,11,49,112
25-01-2021,12,43,151
25-01-2021,13,46,121
25-01-2021,14,53,132
25-01-2021,15,72,138
25-01-2021,16,52,205
25-01-2021,17,30,163
25-01-2021,18,11,80
25-01-2021,19,12,53
25-01-2021,20,9,38
25-01-2021,21,8,18
25-01-2021,22,10,16
25-01-2021,23,10,9
26-01-2021,0,2,2
26-01-2021,1,2,1
26-01-2021,2,1,1
26-01-2021,3,1,2
26-01-2021,4,4,4
26-01-2021,5,1,9
26-01-2021,6,6,39
26-01-2021,7,6,55
26-01-2021,8,13,84
26-01-2021,9,19,69
26-01-2021,10,19,43
26-01-2021,11,30,59
26-01-2021,12,37,84
26-01-2021,13,30,95
26-01-2021,14,22,97
26-01-2021,15,50,101
26-01-2021,16,45,166
26-01-2021,17,52,191
26-01-2021,18,46,159
26-01-2021,19,32,98
26-01-2021,20,28,54
26-01-2021,21,14,36
26-01-2021,22,20,35
26-01-2021,23,12,21
27-01-2021,0,7,12
27-01-2021,1,4,5
27-01-2021,2,2,1
27-01-2021,3,1,1
27-01-2021,4,4,7
27-01-2021,5,8,17
27-01-2021,6,17,80
27-01-2021,7,24,135
27-01-2021,8,52,158
27-01-2021,9,56,147
27-01-2021,10,36,114
27-01-2021,11,55,135
27-01-2021,12,50,170
27-01-2021,13,67,164
27-01-2021,14,82,154
27-01-2021,15,86,158
27-01-2021,16,91,222
27-01-2021,17,105,265
27-01-2021,18,95,226
27-01-2021,19,50,160
27-01-2021,20,27,91
27-01-2021,21,21,62
27-01-2021,22,18,45
27-01-2021,23,10,31
28-01-2021,0,1,9
28-01-2021,1,5,6
28-01-2021,2,2,3
28-01-2021,3,1,
28-01-2021,4,3,5
28-01-2021,5,3,20
28-01-2021,6,11,62
28-01-2021,7,22,122
28-01-2021,8,31,140
28-01-2021,9,28,114
28-01-2021,10,25,80
28-01-2021,11,44,106
28-01-2021,12,62,112
28-01-2021,13,50,100
28-01-2021,14,49,114
28-01-2021,15,60,139
28-01-2021,16,62,193
28-01-2021,17,70,196
28-01-2021,18,61,169
28-01-2021,19,28,114
28-01-2021,20,17,75
28-01-2021,21,15,41
28-01-2021,22,23,42
28-01-2021,23,10,22
29-01-2021,0,4,7
29-01-2021,1,2,8
29-01-2021,2,3,1
29-01-2021,3,1,
29-01-2021,4,3,4
29-01-2021,5,5,10
29-01-2021,6,10,49
29-01-2021,7,25,104
29-01-2021,8,35,120
29-01-2021,9,32,116
29-01-2021,10,35,101
29-01-2021,11,42,116
29-01-2021,12,37,136
29-01-2021,13,72,124
29-01-2021,14,58,124
29-01-2021,15,72,137
29-01-2021,16,62,173
29-01-2021,17,82,229
29-01-2021,18,82,169
29-01-2021,19,63,148
29-01-2021,20,36,68
29-01-2021,21,33,27
29-01-2021,22,16,51
29-01-2021,23,14,24
30-01-2021,0,13,20
30-01-2021,1,8,9
30-01-2021,2,5,10
30-01-2021,3,5,5
30-01-2021,4,5,8
30-01-2021,5,2,7
30-01-2021,6,11,13
30-01-2021,7,18,35
30-01-2021,8,25,77
30-01-2021,9,30,96
30-01-2021,10,38,159
30-01-2021,11,91,195
30-01-2021,12,136,222
30-01-2021,13,166,231
30-01-2021,14,206,242
30-01-2021,15,178,258
30-01-2021,16,168,240
30-01-2021,17,113,218
30-01-2021,18,74,176
30-01-2021,19,45,103
30-01-2021,20,38,86
30-01-2021,21,33,49
30-01-2021,22,30,51
30-01-2021,23,25,25
31-01-2021,0,22,31
31-01-2021,1,7,6
31-01-2021,2,6,4
31-01-2021,3,2,3
31-01-2021,4,1,3
31-01-2021,5,2,8
31-01-2021,6,8,13
31-01-2021,7,8,22
31-01-2021,8,9,30
31-01-2021,9,6,31
31-01-2021,10,18,37
31-01-2021,11,21,63
31-01-2021,12,17,61
31-01-2021,13,30,82
31-01-2021,14,26,63
31-01-2021,15,32,50
31-01-2021,16,38,73
31-01-2021,17,22,43
31-01-2021,18,13,16
31-01-2021,19,9,17
31-01-2021,20,11,16
31-01-2021,21,9,15
31-01-2021,22,9,12
31-01-2021,23,3,7
