,day,hour,member_type,count
0,25-01-2021,0,casual,4
1,25-01-2021,0,member,4
2,25-01-2021,1,casual,2
3,25-01-2021,1,member,4
4,25-01-2021,2,casual,3
5,25-01-2021,2,member,2
6,25-01-2021,3,casual,1
7,25-01-2021,3,member,3
8,25-01-2021,4,casual,3
9,25-01-2021,4,member,2
10,25-01-2021,5,casual,5
11,25-01-2021,5,member,21
12,25-01-2021,6,casual,8
13,25-01-2021,6,member,60
14,25-01-2021,7,casual,16
15,25-01-2021,7,member,114
16,25-01-2021,8,casual,37
17,25-01-2021,8,member,172
18,25-01-2021,9,casual,30
19,25-01-2021,9,member,136
20,25-01-2021,10,casual,29
21,25-01-2021,10,member,93
22,25-01-2021,11,casual,49
23,25-01-2021,11,member,112
24,25-01-2021,12,casual,43
25,25-01-2021,12,member,151
26,25-01-2021,13,casual,46
27,25-01-2021,13,member,121
28,25-01-2021,14,casual,53
29,25-01-2021,14,member,132
30,25-01-2021,15,casual,72
31,25-01-2021,15,member,138
32,25-01-2021,16,casual,52
33,25-01-2021,16,member,205
34,25-01-2021,17,casual,30
35,25-01-2021,17,member,163
36,25-01-2021,18,casual,11
37,25-01-2021,18,member,80
38,25-01-2021,19,casual,12
39,25-01-2021,19,member,53
40,25-01-2021,20,casual,9
41,25-01-2021,20,member,38
42,25-01-2021,21,casual,8
43,25-01-2021,21,member,18
44,25-01-2021,22,casual,10
45,25-01-2021,22,member,16
46,25-01-2021,23,casual,10
47,25-01-2021,23,member,9
48,26-01-2021,0,casual,2
49,26-01-2021,0,member,2
50,26-01-2021,1,casual,2
51,26-01-2021,1,member,1
52,26-01-2021,2,casual,1
53,26-01-2021,2,member,1
54,26-01-2021,3,casual,1
55,26-01-2021,3,member,2
56,26-01-2021,4,casual,4
57,26-01-2021,4,member,4
58,26-01-2021,5,casual,1
59,26-01-2021,5,member,9
60,26-01-2021,6,casual,6
61,26-01-2021,6,member,39
62,26-01-2021,7,casual,6
63,26-01-2021,7,member,55
64,26-01-2021,8,casual,13
65,26-01-2021,8,member,84
66,26-01-2021,9,casual,19
67,26-01-2021,9,member,69
68,26-01-2021,10,casual,19
69,26-01-2021,10,member,43
70,26-01-2021,11,casual,30
71,26-01-2021,11,member,59
72,26-01-2021,12,casual,37
73,26-01-2021,12,member,84
74,26-01-2021,13,casual,30
75,26-01-2021,13,member,95
76,26-01-2021,14,casual,22
77,26-01-2021,14,member,97
78,26-01-2021,15,casual,50
79,26-01-2021,15,member,101
80,26-01-2021,16,casual,45
81,26-01-2021,16,member,166
82,26-01-2021,17,casual,52
83,26-01-2021,17,member,191
84,26-01-2021,18,casual,46
85,26-01-2021,18,member,159
86,26-01-2021,19,casual,32
87,26-01-2021,19,member,98
88,26-01-2021,20,casual,28
89,26-01-2021,20,member,54
90,26-01-2021,21,casual,14
91,26-01-2021,21,member,36
92,26-01-2021,22,casual,20
93,26-01-2021,22,member,35
94,26-01-2021,23,casual,12
95,26-01-2021,23,member,21
96,27-01-2021,0,casual,7
97,27-01-2021,0,member,12
98,27-01-2021,1,casual,4
99,27-01-2021,1,member,5
100,27-01-2021,2,casual,2
101,27-01-2021,2,member,1
102,27-01-2021,3,casual,1
103,27-01-2021,3,member,1
104,27-01-2021,4,casual,4
105,27-01-2021,4,member,7
106,27-01-2021,5,casual,8
107,27-01-2021,5,member,17
108,27-01-2021,6,casual,17
109,27-01-2021,6,member,80
110,27-01-2021,7,casual,24
